Index,Time,velocity,voltage
1184,2.368280,0,0
1185,2.370305,0,0
1186,2.372272,0,0
1187,2.374450,0,0
1188,2.376373,0,0
1189,2.378309,0,0
1190,2.380403,0,0
1191,2.382409,0,0
1192,2.384273,0,0
1193,2.386269,0,0
1194,2.388273,0,0
1195,2.390275,0,0
1196,2.392458,0,0
1197,2.394331,0,0
1198,2.396521,0,0
1199,2.398278,0,0
1200,2.400285,0,0
1201,2.402398,0,0
1202,2.404312,0,0
1203,2.406274,0,0
1204,2.408274,0,0
1205,2.410279,0,0
1206,2.412279,0,0
1207,2.414270,0,0
1208,2.416478,0,0
1209,2.418269,0,0
1210,2.420468,0,0
1211,2.422555,0,0
1212,2.424347,0,0
1213,2.426281,0,0
1214,2.428277,0,0
1215,2.430308,0,0
1216,2.432277,0,0
1217,2.434268,0,0
1218,2.436304,0,0
1219,2.438362,0,0
1220,2.440403,0,0
1221,2.442278,0,0
1222,2.444275,0,0
1223,2.446274,0,0
1224,2.448276,0,0
1225,2.450305,0,0
1226,2.452405,0,0
1227,2.454408,0,0
1228,2.456419,0,0
1229,2.458258,0,0
1230,2.460301,0,0
1231,2.462279,0,0
1232,2.464275,0,0
1233,2.466389,0,0
1234,2.468282,0,0
1235,2.470307,0,0
1236,2.472304,0,0
1237,2.474476,0,0
1238,2.476272,0,0
1239,2.478274,0,0
1240,2.480312,0,0
1241,2.482311,0,0
1242,2.484311,0,0
1243,2.486278,0,0
