Index,Time,voltage,velocity
632,1.263989,-8469,-0.150967494
633,1.266009,1713,-0.129661545
634,1.267989,14785,-0.186122298
635,1.269979,-11276,-0.188252881
636,1.271983,-16527,-0.148836896
637,1.273984,-12049,-0.15416339
638,1.276063,-8154,-0.143510416
639,1.277978,8414,-0.128596246
640,1.279980,-8932,-0.178665221
641,1.281983,1583,-0.240452439
642,1.283985,-1861,-0.279868394
643,1.285987,9848,-0.315023184
644,1.288005,13115,-0.352308601
645,1.289984,-17278,-0.34378624
646,1.291988,573,-0.329937369
647,1.293978,-13730,-0.321414977
648,1.296000,-15347,-0.277737826
649,1.298002,-9284,-0.260693073
650,1.299981,-8037,-0.290521383
651,1.301985,10378,-0.316088498
652,1.303987,17549,-0.399181664
653,1.305989,-16386,-0.480144233
654,1.308001,-14777,-0.515299022
655,1.309981,17909,-0.509972513
656,1.311985,-14691,-0.466295362
657,1.313986,16025,-0.465230078
658,1.315988,17921,-0.501450181
659,1.318009,-15876,-0.458838284
660,1.319988,-7449,-0.464164764
661,1.321980,-14191,-0.51742965
662,1.323982,7754,-0.399181664
663,1.325985,8723,-0.337394446
664,1.328020,-5187,-0.441793561
665,1.330006,7482,-0.469491273
666,1.331987,12462,-0.423683494
667,1.333978,-13411,-0.458838284
668,1.335980,-9400,-0.498254269
669,1.337981,17152,-0.39811638
670,1.339983,-3086,-0.311827332
671,1.342004,7791,-0.378941029
672,1.343983,9287,-0.423683494
673,1.345985,-2059,-0.30330494
674,1.347987,-16987,-0.280933708
675,1.349978,-15920,-0.364026845
676,1.352136,4912,-0.247909516
677,1.353978,-14325,-0.129661545
678,1.355980,3747,-0.272411346
679,1.357982,11017,-0.357635111
680,1.359985,15780,-0.280933708
681,1.362006,-661,-0.350178003
682,1.363986,928,-0.490797222
683,1.365988,7363,-0.384267509
684,1.367979,4495,-0.22873418
685,1.369980,-9670,-0.275607228
686,1.371984,14261,-0.281998992
687,1.374005,7935,-0.126465648
688,1.375985,12051,-0.10942091
689,1.377987,-790,-0.217015907
690,1.379978,-7785,-0.127530947
691,1.381982,-4846,0.0173494257
692,1.384005,-2303,-0.0423072018
693,1.385985,5951,-0.0433725007
694,1.387986,5470,0.0833978355
695,1.389978,14128,0.05783071
696,1.391982,-15129,-0.0625478476
697,1.394009,6900,-0.064678438
698,1.395989,-5471,0.0738101676
699,1.397979,16268,0.0493083298
700,1.399981,-934,0.038655363
701,1.401986,16930,0.0993772969
702,1.403988,-6696,0.121748529
703,1.406005,-11273,0.0748754665
704,1.407984,3978,0.112160861
705,1.409986,-11373,0.209102869
706,1.411979,-14072,0.215494648
707,1.413981,-17567,0.180339843
708,1.416008,651,0.175013378
709,1.417987,-13704,0.156903312
710,1.419989,-2770,0.0130882384
711,1.421981,10184,-0.0540254675
712,1.423983,15022,-0.0476336889
713,1.426041,-9425,-0.140314534
714,1.427988,-12037,-0.236191243
715,1.429979,-6953,-0.156293988
716,1.431983,767,-0.0636131465
717,1.433985,6725,-0.0849190801
718,1.436020,17826,-0.174404025
719,1.437999,12345,-0.137118638
720,1.439978,-726,-0.115812689
721,1.441982,-3128,-0.205297649
722,1.443984,-14627,-0.195709959
723,1.445985,8135,-0.0423072018
724,1.448006,13872,0.0120229414
725,1.449986,-9351,-0.0210012645
726,1.451979,-2215,0.0216106139
727,1.453981,-9718,0.0397206619
728,1.455983,-8385,-0.0103482939
729,1.457985,-4675,-0.0146094812
730,1.460009,-17489,0.0141535345
731,1.462008,-15385,0.0152188325
732,1.463987,901,-0.0380460136
733,1.465989,1209,-0.0838537812
734,1.467979,14739,-0.116877981
735,1.470006,3195,-0.208493531
736,1.471987,14301,-0.286260188
737,1.473989,6557,-0.276672512
738,1.475979,-8113,-0.269215465
739,1.477981,-17570,-0.250040114
740,1.480009,15000,-0.174404025
741,1.481979,-3720,-0.0817231834
742,1.483981,7334,-0.064678438
743,1.485983,-15207,-0.100898534
744,1.487986,10923,-0.0902455673
745,1.489988,-9379,-0.0550907664
746,1.492003,12727,-0.100898534
747,1.493982,5510,-0.122204475
748,1.495984,-6687,-0.0774620026
749,1.497986,13177,-0.0625478476
750,1.499978,-8865,-0.0977026448
751,1.502009,5446,-0.049764283
752,1.503978,15638,0.0130882384
753,1.505980,-10207,-0.00821770076
754,1.507982,-13733,0.0152188325
755,1.509984,16726,0.0599613041
756,1.512005,12989,0.0727448687
757,1.513984,-6325,0.100442596
758,1.515986,-775,0.0812672451
759,1.518009,15368,0.0684836805
760,1.519988,-7894,0.143054456
761,1.522001,-8434,0.147315651
762,1.523980,-17325,0.097246699
763,1.525981,-17868,0.176078677
764,1.527983,4425,0.239996493
765,1.529986,-17419,0.141989157
766,1.532009,2976,0.0855284333
767,1.533988,-16001,0.0908549204
768,1.535979,13439,-0.0103482939
769,1.537980,-14686,-0.133922741
770,1.539982,-581,-0.1445757
771,1.542005,2446,-0.141379818
772,1.543985,-7795,-0.205297649
773,1.545987,-4664,-0.222342387
774,1.547989,15800,-0.199971154
775,1.549979,-6886,-0.227668881
776,1.551984,-13949,-0.242583036
777,1.554001,8040,-0.262823671
778,1.555980,-10642,-0.251105398
779,1.557982,-11782,-0.207428247
780,1.559984,17279,-0.257497191
781,1.561978,-3458,-0.281998992
782,1.564000,14737,-0.236191243
783,1.565979,-13887,-0.297978461
784,1.567981,12523,-0.36828804
785,1.569984,5585,-0.288390785
786,1.571988,10131,-0.250040114
787,1.574030,2608,-0.275607228
788,1.575987,17968,-0.235125944
789,1.577988,-15062,-0.132857442
790,1.579979,10651,-0.124335065
791,1.581983,1259,-0.127530947
792,1.584039,-10147,-0.012478888
793,1.585979,-17899,0.0706142709
794,1.587981,10198,0.00563115999
795,1.589983,17794,0.041851256
796,1.591986,9822,0.106834374
797,1.593978,-10291,0.00456586294
798,1.596034,-12832,-0.064678438
799,1.597986,-4273,0.0333288796
800,1.599978,27,0.0727448687
