Index,Time,motor1Vel,motor2Vel,motor3Vel,motor4Vel,subsystems::current
7590,75.901626,-743.300842,-899.12384,-674.185791,-886.976379,-0.222676337
7591,75.911602,-740.159241,-898.809692,-673.976379,-888.547119,-0.222343206
7592,75.921625,-737.54126,-898.600281,-673.766907,-888.337708,-0.222010016
7593,75.931621,-739.530945,-894.725586,-678.165161,-887.290466,-0.221676886
7594,75.941622,-740.682861,-898.390808,-676.175476,-885.510315,-0.221343756
7595,75.951624,-740.368713,-892.945374,-675.337708,-886.138611,-0.221010566
7596,75.961616,-738.274292,-897.134155,-671.56781,-883.311157,-0.220744073
7597,75.971843,-737.122375,-889.175476,-667.902588,-882.368713,-0.220344305
7598,75.981625,-734.713806,-890.327393,-671.777283,-882.368713,-0.220077753
7599,75.991617,-734.294922,-890.95575,-669.159241,-878.912964,-0.219744623
7600,76.001623,-736.075195,-890.117981,-668.112061,-877.865784,-0.219411492
7601,76.011616,-736.284607,-889.384888,-664.342102,-879.122375,-0.219078302
7602,76.021603,-734.923218,-888.966003,-664.13269,-877.865784,-0.218745172
7603,76.031622,-731.676941,-885.719727,-663.08551,-878.284607,-0.218412042
7604,76.041618,-730.525024,-886.976379,-665.284607,-876.294922,-0.218078852
7605,76.051615,-732.724182,-883.939453,-663.504333,-876.294922,-0.217745721
7606,76.061615,-733.143005,-886.138611,-663.504333,-874.095825,-0.217412591
7607,76.071617,-732.095825,-881.949829,-663.08551,-872.734436,-0.217079401
7608,76.081604,-729.896729,-883.730042,-663.504333,-870.325928,-0.216746271
7609,76.091626,-727.697571,-882.6828,-664.13269,-872.525024,-0.21641314
7610,76.101620,-727.069275,-879.331848,-660.676941,-871.268372,-0.21607995
7611,76.111625,-728.535339,-879.122375,-661.933594,-870.535339,-0.21574682
7612,76.121620,-728.116455,-874.724182,-662.352478,-869.069275,-0.21541369
7613,76.131597,-726.126831,-878.49408,-659.734497,-867.498474,-0.2150805
7614,76.141625,-724.241882,-875.457153,-658.477844,-867.707947,-0.214747369
7615,76.151626,-722.042725,-877.342102,-655.650391,-867.707947,-0.214414239
7616,76.161616,-722.461609,-876.08551,-653.870178,-866.03241,-0.214081049
7617,76.171604,-724.241882,-874.514709,-652.718201,-865.718201,-0.213747919
7618,76.181618,-724.870178,-873.467529,-653.660767,-865.089905,-0.213414788
7619,76.191622,-725.079651,-873.258057,-649.890808,-862.681396,-0.213081598
7620,76.201622,-722.252136,-871.058899,-653.660767,-861.843628,-0.212748468
7621,76.211617,-719.634155,-872.734436,-649.262512,-862.05304,-0.212415338
7622,76.221604,-718.272827,-870.325928,-649.681396,-862.471924,-0.212082148
7623,76.231618,-720.05304,-869.488159,-650.100281,-862.262512,-0.211749017
7624,76.241623,-720.05304,-869.488159,-651.042725,-860.482239,-0.211415887
7625,76.251619,-719.843628,-868.859802,-651.042725,-859.016174,-0.211082697
7626,76.261618,-716.492554,-866.660767,-650.309692,-855.45575,-0.210749567
7627,76.271639,-713.874634,-864.461609,-648.843628,-853.884888,-0.210416436
7628,76.281625,-714.084045,-864.461609,-649.681396,-853.466003,-0.210083246
7629,76.291617,-715.026489,-861.424744,-646.853943,-852.837708,-0.209750116
7630,76.301620,-716.283142,-861.843628,-646.43512,-853.675476,-0.209416986
7631,76.311616,-715.654846,-862.890808,-645.283142,-853.466003,-0.209083796
7632,76.321621,-713.665161,-861.634155,-644.864258,-851.790466,-0.208750665
7633,76.331625,-710.418823,-862.05304,-644.235962,-851.999939,-0.208417535
7634,76.341601,-710.418823,-858.073669,-641.827393,-849.591431,-0.208084345
7635,76.351624,-710.209351,-857.235962,-638.685791,-849.277222,-0.207751215
